"filename", "language", "TypeScript", "JSON", "JSON with Comments", "vue", "Less", "CSS", "JavaScript", "TypeScript JSX", "Markdown", "XML", "HTML", "Ignore", "Properties", "comment", "blank", "total"
"d:\Work\SDbased-VectorPoster-Generator\src\components\attribute.vue", "vue", 0, 0, 0, 701, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 45, 754
"d:\Work\SDbased-VectorPoster-Generator\src\components\backHome.vue", "vue", 0, 0, 0, 16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 19
"d:\Work\SDbased-VectorPoster-Generator\src\components\bgBar.vue", "vue", 0, 0, 0, 104, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 8, 113
"d:\Work\SDbased-VectorPoster-Generator\src\components\centerAlign.vue", "vue", 0, 0, 0, 94, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 4, 104
"d:\Work\SDbased-VectorPoster-Generator\src\components\clone.vue", "vue", 0, 0, 0, 13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 16
"d:\Work\SDbased-VectorPoster-Generator\src\components\colorSelector.vue", "vue", 0, 0, 0, 250, 0, 0, 0, 0, 0, 0, 0, 0, 0, 11, 17, 278
"d:\Work\SDbased-VectorPoster-Generator\src\components\del.vue", "vue", 0, 0, 0, 13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 5, 21
"d:\Work\SDbased-VectorPoster-Generator\src\components\dragMode.vue", "vue", 0, 0, 0, 49, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 6, 62
"d:\Work\SDbased-VectorPoster-Generator\src\components\filters.vue", "vue", 0, 0, 0, 282, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 18, 309
"d:\Work\SDbased-VectorPoster-Generator\src\components\flip.vue", "vue", 0, 0, 0, 88, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 6, 98
"d:\Work\SDbased-VectorPoster-Generator\src\components\fontTmpl.vue", "vue", 0, 0, 0, 87, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 6, 100
"d:\Work\SDbased-VectorPoster-Generator\src\components\group.vue", "vue", 0, 0, 0, 75, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 5, 86
"d:\Work\SDbased-VectorPoster-Generator\src\components\history.vue", "vue", 0, 0, 0, 46, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 8, 59
"d:\Work\SDbased-VectorPoster-Generator\src\components\importAI.vue", "vue", 0, 0, 0, 533, 0, 0, 0, 0, 0, 0, 0, 0, 0, 18, 41, 592
"d:\Work\SDbased-VectorPoster-Generator\src\components\importFile.vue", "vue", 0, 0, 0, 122, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 7, 136
"d:\Work\SDbased-VectorPoster-Generator\src\components\importJSON.vue", "vue", 0, 0, 0, 38, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 5, 46
"d:\Work\SDbased-VectorPoster-Generator\src\components\importSvgEl.vue", "vue", 0, 0, 0, 165, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 18, 190
"d:\Work\SDbased-VectorPoster-Generator\src\components\importTmpl.vue", "vue", 0, 0, 0, 149, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 17, 169
"d:\Work\SDbased-VectorPoster-Generator\src\components\inputNumber\index.ts", "TypeScript", 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 4
"d:\Work\SDbased-VectorPoster-Generator\src\components\inputNumber\inputNumber.vue", "vue", 0, 0, 0, 508, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 48, 556
"d:\Work\SDbased-VectorPoster-Generator\src\components\lang.vue", "vue", 0, 0, 0, 37, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 8, 53
"d:\Work\SDbased-VectorPoster-Generator\src\components\layer.vue", "vue", 0, 0, 0, 217, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 13, 239
"d:\Work\SDbased-VectorPoster-Generator\src\components\lock.vue", "vue", 0, 0, 0, 72, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 12, 87
"d:\Work\SDbased-VectorPoster-Generator\src\components\previewCurrent.vue", "vue", 0, 0, 0, 18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 4, 30
"d:\Work\SDbased-VectorPoster-Generator\src\components\replaceImg.vue", "vue", 0, 0, 0, 48, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 9, 64
"d:\Work\SDbased-VectorPoster-Generator\src\components\save.vue", "vue", 0, 0, 0, 73, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 13, 91
"d:\Work\SDbased-VectorPoster-Generator\src\components\setSize.vue", "vue", 0, 0, 0, 139, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 14, 156
"d:\Work\SDbased-VectorPoster-Generator\src\components\svgIcon\index.js", "JavaScript", 0, 0, 0, 0, 0, 0, 6, 0, 0, 0, 0, 0, 0, 7, 3, 16
"d:\Work\SDbased-VectorPoster-Generator\src\components\svgIcon\index.vue", "vue", 0, 0, 0, 59, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 3, 64
"d:\Work\SDbased-VectorPoster-Generator\src\components\tools.vue", "vue", 0, 0, 0, 381, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 18, 401
"d:\Work\SDbased-VectorPoster-Generator\src\components\waterMark.vue", "vue", 0, 0, 0, 200, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 13, 220
"d:\Work\SDbased-VectorPoster-Generator\src\components\zoom.vue", "vue", 0, 0, 0, 77, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 4, 88
"d:\Work\SDbased-VectorPoster-Generator\src\config\constants\app.ts", "TypeScript", 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2
"d:\Work\SDbased-VectorPoster-Generator\src\config\constants\filter.ts", "TypeScript", 187, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 3, 193
"d:\Work\SDbased-VectorPoster-Generator\src\core\ContextMenu.js", "JavaScript", 0, 0, 0, 0, 0, 0, 203, 0, 0, 0, 0, 0, 0, 10, 51, 264
"d:\Work\SDbased-VectorPoster-Generator\src\core\ServersPlugin.ts", "TypeScript", 262, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 25, 30, 317
"d:\Work\SDbased-VectorPoster-Generator\src\core\core.ts", "TypeScript", 125, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 17, 16, 158
"d:\Work\SDbased-VectorPoster-Generator\src\core\index.ts", "TypeScript", 42, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 2, 51
"d:\Work\SDbased-VectorPoster-Generator\src\core\objects\Arrow.js", "JavaScript", 0, 0, 0, 0, 0, 0, 35, 0, 0, 0, 0, 0, 0, 8, 4, 47
"d:\Work\SDbased-VectorPoster-Generator\src\core\plugin.ts", "TypeScript", 81, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 5, 90
"d:\Work\SDbased-VectorPoster-Generator\src\core\plugin\AlignGuidLinePlugin.ts", "TypeScript", 266, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 19, 34, 319
"d:\Work\SDbased-VectorPoster-Generator\src\core\plugin\CenterAlignPlugin.ts", "TypeScript", 58, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 9, 75
"d:\Work\SDbased-VectorPoster-Generator\src\core\plugin\ControlsPlugin.ts", "TypeScript", 210, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 29, 22, 261
"d:\Work\SDbased-VectorPoster-Generator\src\core\plugin\ControlsRotatePlugin.ts", "TypeScript", 94, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 12, 9, 115
"d:\Work\SDbased-VectorPoster-Generator\src\core\plugin\CopyPlugin.ts", "TypeScript", 88, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 18, 10, 116
"d:\Work\SDbased-VectorPoster-Generator\src\core\plugin\DeleteHotKeyPlugin.ts", "TypeScript", 38, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 8, 55
"d:\Work\SDbased-VectorPoster-Generator\src\core\plugin\DownFontPlugin.ts", "TypeScript", 20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 6, 34
